P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
davidsonii	P_fruticosus_Pop7_18.0822	fruticosus	11.340333418623812	0.0	0.25792996814290375	61320216.484375	7570100.203125	11155813.578125	6418308.390625	4662098.34375	9067662.953125	3312237.453125	3352399.15625	4391850.890625	34054734.828125	7757317.34375	3835638.34375	6047462.40625	10921625.59375	2827798.03125
davidsonii	P_fruticosus_Pop7_18.0825	fruticosus	-99999.9	1.0	2.378078296997124	62195609.25	6488799.375	8206432.1875	3441701.9375	2581436.0	6942975.3125	3060793.0	1943197.3125	2403478.1875	28899240.625	4126748.3125	1809584.5625	5281059.1875	5369720.125	1152931.625
davidsonii	P_fruticosus_Popnew1_19.008	fruticosus	-99999.9	1.0	-0.6127522028411211	59574151.96875	6070489.96875	11101047.34375	4130997.34375	3221982.625	6860071.90625	3173711.28125	1930588.375	2809998.15625	29130309.71875	4647353.1875	2395553.875	5816076.1875	6403039.0625	1444605.0
davidsonii	P_fruticosus_Popnew2_19.0081	fruticosus	9.076463470311344	0.0	0.2349365300825141	61716078.21875	7730982.96875	10628416.09375	6240655.96875	4517550.5	9122868.46875	3435753.59375	3428752.75	4297086.09375	33607638.03125	7659106.1875	3697213.875	6190832.3125	10678208.0625	2791460.875
davidsonii	P_fruticosus_Popnew2_19.0082	fruticosus	11.830246237076004	0.0	0.2719502322709529	63141282.75	8306190.875	9441472.5	6308472.4375	4365647.9375	9616087.9375	3290512.125	3559658.3125	4417818.3125	34635750.8125	8074545.75	3591100.0	5822758.5625	11030304.8125	2854345.875
davidsonii	scouleri_OSTL_17	fruticosus	12.747713093468175	0.0	0.3024477811714913	67047921.9375	9037778.8125	4997172.875	5308426.75	3077013.875	9491668.625	2703204.625	3168810.5	3832788.375	34957937.75	7197840.875	2737118.1875	4482180.5625	9739008.4375	2294965.8125
davidsonii	scouleri_OSTL_19	fruticosus	-99999.9	1.0	-0.38821625308399793	60789270.484375	6279643.015625	9926771.578125	4170081.203125	3237459.71875	6931716.890625	3202782.703125	1979137.65625	2932276.578125	29287471.578125	4902637.59375	2458126.46875	5889344.90625	6538950.09375	1519942.53125
davidsonii	scouleri_OSTL_20	fruticosus	-4.68233427122169	0.9999985802551183	0.7059163279034608	64482380.828125	7209359.921875	5393934.109375	2402087.421875	1431561.46875	6672059.484375	2735021.109375	1678940.90625	1935849.484375	28697661.109375	3412999.15625	1070623.09375	4376981.84375	3924270.40625	640501.65625
davidsonii	scouleri_OSTL_21	fruticosus	-99999.9	1.0	-0.6365782439326974	65611549.875	7808149.0	4933066.25	3241072.875	1869446.25	7581776.8125	2689320.875	2064064.1875	2474706.4375	30530942.625	4546753.5625	1501599.125	4396653.875	5649120.5625	1126117.6875
davidsonii	scouleri_OSTL_22	fruticosus	-99999.9	1.0	-0.6802152556313731	64177822.96875	7137436.84375	6214243.53125	3262909.90625	2113032.5	7042042.09375	2697057.09375	1854357.5	2467978.28125	29984266.21875	4315118.9375	1642504.375	4538280.1875	5368074.8125	1046875.75
scouleri	P_fruticosus_Pop8_18.0826	fruticosus	18.317168774925086	0.0	0.6523135201873922	23856609.859375	3154288.140625	3881825.265625	1780120.515625	1341516.21875	2807018.015625	1087798.765625	930341.71875	2386701.265625	14946830.578125	4055229.65625	1457683.59375	1992054.03125	2969922.78125	767300.59375
scouleri	P_fruticosus_Pop8_18.0827	fruticosus	16.679233756739233	0.0	0.6655232398958224	22718056.9375	2958074.25	4970588.0	1777792.3125	1373622.25	2516428.0625	1150553.375	817831.625	2398598.5	14528739.5625	3935972.5	1573860.0	2197247.375	2904104.875	736848.375
scouleri	serratus_2_047	fruticosus	22.868027128688055	0.0	0.610200157129939	26246573.0	3822529.4375	1612452.375	1775030.875	1042875.8125	3703446.0	891016.1875	1173658.625	2274869.75	16151268.75	4251249.3125	1040885.375	1361078.1875	3260037.875	771613.4375
scouleri	P_fruticosus_Pop8_18.0826	davidsonii	7.687090189041841	7.549516567451064e-15	0.8679787311122104	11378601.96875	1902150.34375	2148796.53125	719035.59375	645577.5625	1334434.71875	584768.15625	526154.8125	1467514.40625	6650603.59375	2461096.9375	904484.125	1087254.25	1238905.625	450319.375
scouleri	P_fruticosus_Pop8_18.0827	davidsonii	6.1813692300818825	3.190250286166929e-10	0.8867135728408174	10857853.234375	1763634.578125	2641639.140625	720537.640625	693083.65625	1180857.515625	610930.140625	478649.78125	1468848.078125	6449708.703125	2392881.65625	969604.78125	1177871.78125	1186565.90625	441934.40625
scouleri	serratus_2_047	davidsonii	17.3389761107412	0.0	0.7593859523729138	12669541.109375	2098962.140625	904327.140625	748078.890625	564247.21875	1819393.078125	454988.453125	599475.96875	1379991.640625	7259333.453125	2536530.15625	653729.78125	756989.59375	1379872.46875	452152.90625
scouleri	praeteritus_2_0471	fruticosus	-5.061071332144005	0.9999997911966909	0.7394757486617816	24932523.25	2387645.375	2102994.4375	1181233.5625	660520.875	3198059.25	1339870.3125	729697.5625	889593.5	12346902.9375	1579720.6875	519280.5625	2268835.8125	1990773.0	332257.875
scouleri	praeteritus_96_0049	fruticosus	-99999.9	1.0	1.2726348510845624	24885844.671875	2560342.515625	2285636.640625	1298986.765625	731195.40625	3225678.890625	1262649.328125	810411.34375	1093029.453125	12955814.765625	1920089.09375	651876.84375	2100374.09375	2222001.15625	399347.03125
scouleri	praeteritus_96_0105	fruticosus	-2.476137932651499	0.9933593773415068	0.8346486728707154	25084956.171875	2538721.890625	2049716.078125	1281843.828125	667196.28125	3337982.828125	1366344.515625	859242.84375	939807.953125	12618533.515625	1663187.96875	590374.21875	2248242.46875	2240205.15625	388638.28125
scouleri	praeteritus_BWS_118_5	fruticosus	19.39371773064063	0.0	0.5274977816295248	25676604.546875	3240181.640625	2030460.265625	1842739.265625	1118011.78125	3656834.640625	1018348.078125	1028266.34375	1938691.953125	15219368.015625	3594182.84375	982584.34375	1710039.34375	3237703.28125	713265.65625
scouleri	praeteritus_BWS_118_9	fruticosus	20.31512764875769	0.0	0.5364137035631704	25595818.953125	3212226.671875	2091357.796875	1819350.234375	1113246.59375	3579974.546875	970300.421875	975163.90625	1952732.296875	15263708.171875	3604619.15625	988525.15625	1649612.65625	3182591.34375	700711.09375
scouleri	praeteritus_BWS_119_6	fruticosus	21.40519982815697	0.0	0.5327466493162795	26050501.515625	3600759.609375	1814770.609375	1951521.546875	1126658.96875	4016455.796875	1020626.421875	1232628.90625	2082001.921875	15819279.171875	3979868.53125	963185.65625	1591260.78125	3527386.46875	794065.09375
scouleri	praeteritus_BWS_119_9	fruticosus	-3.96262185268311	0.999962918089206	0.7742698242589529	24983326.953125	2424898.921875	2065367.171875	1213432.796875	656891.40625	3221109.609375	1341259.421875	759620.34375	902805.421875	12431477.171875	1586554.53125	550953.84375	2257559.78125	2075187.46875	347670.15625
scouleri	praeteritus_BWS_120_2	fruticosus	-10.83781122508384	1.0	0.7072102133781635	24821151.640625	2260704.859375	2166188.859375	1146987.859375	617199.28125	3253413.109375	1479018.046875	789246.34375	677025.796875	11842471.046875	1180893.15625	468974.09375	2464197.15625	1941316.59375	308472.15625
scouleri	praeteritus_BWS_120_3	fruticosus	-12.05834623870575	1.0	0.6608375929565574	24834508.828125	2386435.234375	2161046.796875	1125618.484375	597166.90625	3181745.734375	1485881.859375	783440.84375	783930.296875	11871310.109375	1357159.78125	515606.34375	2494753.40625	1929373.59375	318810.78125
scouleri	praeteritus_BWS_121_3	fruticosus	-8.88892628596899	1.0	0.6998340779088965	23932034.140625	1701884.984375	2879934.796875	1066736.546875	711793.28125	2481058.546875	1328170.859375	366252.21875	718639.171875	11423968.296875	971648.15625	659924.34375	2485259.40625	1586680.71875	207096.53125
scouleri	praeteritus_BWS_121_4	fruticosus	-6.91804050261711	0.9999999999976961	0.7470868812199452	24858187.71875	2261050.09375	2124471.15625	1161991.28125	614587.0	3177934.53125	1378606.59375	711409.5625	738740.78125	12079880.40625	1268310.0	496828.3125	2332572.375	1966647.0625	300865.125
scouleri	praeteritus_BWS_122_1	fruticosus	-11.452180861798466	1.0	0.6726553736168149	24441728.671875	2048265.078125	2437221.828125	1063083.703125	651590.71875	2895537.703125	1396532.140625	600834.65625	711334.140625	11672590.765625	1139606.09375	532890.15625	2441480.34375	1693761.40625	263333.59375
